id,url,tweet,author,created_at,source_file,hasztag/canidate,tweet_clean,tweet_no_stop,tweet_base_no_stop,label
1.91876E+18,https://x.com/IPowiatu/status/1918755772168548705,@NawrockiKn 18 maja głosujemy na Karola Nawrockiego! 🇵🇱 #Nawrocki2025,IPowiatu,Sat May 03 19:53:19 +0000 2025,tweets__Nawrocki2025_20250505_111024.csv,tweets__Nawrocki2025, 18 maja głosujemy na karola nawrockiego!   nawrocki2025,18 maja głosujemy karola nawrockiego! nawrocki2025,18 maj głosować karol nawrockiego! nawrocki2025,pozytywny
1.91878E+18,https://x.com/Ewa74501725/status/1918780124863828291,"@Trzaskowski2O25 @trzaskowski_ Oczywiście, że będziemy mieli prezydenta wszystkich Polaków.  #Nawrocki2025🇵🇱❤️ https://t.co/K4v5ErT9R5",Ewa74501725,Sat May 03 21:30:05 +0000 2025,tweets__Nawrocki2025_20250505_111024.csv,tweets__Nawrocki2025," oczywiście, że będziemy mieli prezydenta wszystkich polaków. nawrocki2025   ","oczywiście, będziemy mieli prezydenta polaków. nawrocki2025","oczywiście, być mieć prezydent polak. nawrocki2025",pozytywny
1.9169E+18,https://x.com/L_Grabowski/status/1916904547789779248,"Wydawało mi się, że to Karol Nawrocki będzie - obok Rafała Trzaskowskiego - najczęściej wywoływany do pulpitu na środku sceny, a tymczasem często podchodzi Szymon Hołownia. Czyli kandydaci skupili się na przedstawicielach władzy. #debataprezydencka #debata #debatasuperexpress",L_Grabowski,Mon Apr 28 17:17:13 +0000 2025,tweets__DebataPrezydencka_20250505_114856.csv,tweets__DebataPrezydencka,"wydawało mi się, że to karol nawrocki będzie - obok rafała trzaskowskiego - najczęściej wywoływany do pulpitu na środku sceny, a tymczasem często podchodzi szymon hołownia. czyli kandydaci skupili się na przedstawicielach władzy. debataprezydencka debata debatasuperexpres","wydawało się, karol nawrocki - rafała trzaskowskiego - najczęściej wywoływany pulpitu środku sceny, tymczasem podchodzi szymon hołownia. kandydaci skupili przedstawicielach władzy. debataprezydencka debata debatasuperexpres","wydawać się, Karol nawrocki - rafać trzaskowskiy - często wywoływać pulpit środek scena, tymczasem podchodzić szymon hołownia. kandydat skupić przedstawiciel władza. debataprezydencki debata debatasuperexpres",neutralny
1.9147E+18,https://x.com/rafal_kropka/status/1914703640842957179,idziemy po 2 ture #Biejat2025,rafal_kropka,Tue Apr 22 15:31:36 +0000 2025,tweets__Biejat2025_20250505_122318.csv,tweets__Biejat2025,idziemy po 2 ture biejat2025,idziemy 2 ture biejat2025,iść 2 ture biejat2025,pozytywny
1.91208E+18,https://x.com/Deepakprakash07/status/1912077783930450300,Wow this is so beautiful  😍l #LaCasaDelLosFamosoCol #WWERaw  #AmbedkarJayanti #AVFC #clancyvienna #DebataPrezydencka,Deepakprakash07,Tue Apr 15 09:37:23 +0000 2025,tweets__DebataPrezydencka_20250505_122438.csv,tweets__DebataPrezydencka,wow this is so beautiful  l lacasadellosfamosocol weraw  ambedkarjayanti avfc clancyviena debataprezydencka,wow this is so beautiful l lacasadellosfamosocol weraw ambedkarjayanti avfc clancyviena debataprezydencka,wow this is so beautiful l lacasadellosfamosocol weraw ambedkarjayanti avfc clancyvien debataprezydencki,pozytywny
1.9187E+18,https://x.com/joslobie/status/1918700504093221379,#Nawrocki2025,joslobie,Sat May 03 16:13:42 +0000 2025,tweets__Nawrocki2025_20250505_111024.csv,tweets__Nawrocki2025, nawrocki2025,nawrocki2025,nawrocki2025,neutralny
1.91609E+18,https://x.com/Federacja_BiS/status/1916091060477980932,📣 Chce zmienić system polityczny w Polsce. Kim jest kandydat na prezydenta @MarekWoch2❓  ➡️ https://t.co/xoPlqx5arj  🇵🇱 #MarekWoch2025 #wybory2025 #kandydat #PrezydentRP #polska @Federacja_BiS 🇵🇱  Materiał: @tvn24 🤝 Źródło zdjęcia: Leszek Szymański/PAP 🤝 https://t.co/lvwxUHcx43,Federacja_BiS,Sat Apr 26 11:24:42 +0000 2025,tweets__MarekWoch2025_20250505_120637.csv,tweets__MarekWoch2025,  chce zmienić system polityczny w polsce. kim jest kandydat na prezydenta       marekwoch2025 wybory2025 kandydat prezydentrp polska   materiał:   źródło zdjęcia: leszek szymański/pap   ,zmienić system polityczny polsce. kim kandydat prezydenta marekwoch2025 wybory2025 kandydat prezydentrp polska materiał: źródło zdjęcia: leszek szymański/pap,zmienić system polityczny Polska. kto kandydat prezydent marekwoch2025 wybory2025 kandydat prezydentrp polski materiał: źródło zdjęcie: Leszek szymański / pap,neutralny
1.91392E+18,https://x.com/etele80kovacs/status/1913920466663653592,@majakstasko Dlatego lepiej jak pozostają w związku z kobietą. Z kobietą nie zajdą w ciążę. 🏳️‍🌈 #Biejat2025,etele80kovacs,Sun Apr 20 11:39:32 +0000 2025,tweets__Biejat2025_20250505_122318.csv,tweets__Biejat2025, dlatego lepiej jak pozostają w związku z kobietą. z kobietą nie zajdą w ciążę.   biejat2025,lepiej pozostają związku kobietą. kobietą zajdą ciążę. biejat2025,dobrze pozostawać związek kobieta. kobieta zajść ciąża. biejat2025,negatywny
1.91911E+18,https://x.com/Jerzy_Wu/status/1919113577866104953,Nasz Prezydent💪👍✌️ #Trzaskowski2025  #CalaPolskaNaprzód  #WygraCałaPolska  #TrzaskamyPierwsząTurę https://t.co/tEOv4auGGB,Jerzy_Wu,Sun May 04 19:35:07 +0000 2025,tweets__Trzaskowski2025_20250505_122839.csv,tweets__Trzaskowski2025,nasz prezydent    trzaskowski2025 calapolskanaprzód wygracałapolska trzaskamypierwsząturę ,prezydent trzaskowski2025 calapolskanaprzód wygracałapolska trzaskamypierwsząturę,prezydent trzaskowski2025 calapolskanaprzód wygracałapolski trzaskamypierwsząturę,pozytywny
1.91875E+18,https://x.com/forteca1969/status/1918748535538712636,"@AntekGoldstein @JAREKH12 @MagdaBiejat Zabawne, do jednego wora wrzucać sojusznika Stalina w jego agresji na Polskę i Finlandię, i kogoś kto popierał ofiarę w tych konfliktach. Zabawne jest zestawienie inicjatorów sonderaktion Krakau i kogoś, kto doprowadził do uwolnienia pozostałych przy życiu profesorów.",forteca1969,Sat May 03 19:24:34 +0000 2025,tweets__Biejat_replies_1918239998899310974_20250505_123744.csv,tweets__Biejat," zabawne, do jednego wora wrzucać sojusznika stalina w jego agresji na polskę i finlandię, i kogoś kto popierał ofiarę w tych konfliktach. zabawne jest zestawienie inicjatorów sonderaktion krakau i kogoś, kto doprowadził do uwolnienia pozostałych przy życiu profesorów.","zabawne, jednego wora wrzucać sojusznika stalina agresji polskę finlandię, kogoś popierał ofiarę konfliktach. zabawne zestawienie inicjatorów sonderaktion krakau kogoś, doprowadził uwolnienia pozostałych życiu profesorów.","zabawny, jeden wor wrzucać sojusznik stalin agresja polskę finlandię, ktoś popierać ofiara konflikt. zabawny zestawienie inicjator sonderaktiono krakau ktoś, doprowadzić uwolnić pozostały życie profesor.",negatywny
1.91895E+18,https://x.com/UrszulaRusecka/status/1918945068276167098,Z miłości do Polski!🇵🇱❤️#Nawrocki2025,UrszulaRusecka,Sun May 04 08:25:31 +0000 2025,tweets__Nawrocki2025_20250505_111024.csv,tweets__Nawrocki2025,z miłości do polski!   nawrocki2025,miłości polski! nawrocki2025,miłość Polska! nawrocki2025,pozytywny
1.91864E+18,https://x.com/RafalzKrakowa/status/1918638382109843640,@SlawomirMentzen W Lipnie nie ma lipy. #Mentzen2025,RafalzKrakowa,Sat May 03 12:06:51 +0000 2025,tweets__Mentzen2025_20250505_111555.csv,tweets__Mentzen2025, w lipnie nie ma lipy. mentzen2025,lipnie lipy. mentzen2025,lipnie lipa. mentzen2025,pozytywny
1.91911E+18,https://x.com/st3rniak/status/1919105487930269848,"@ginpo7 @bandyci_drogowi Kocham Cię, ale głosuję na #MENTZEN2025",st3rniak,Sun May 04 19:02:58 +0000 2025,tweets__Mentzen2025_20250505_111555.csv,tweets__Mentzen2025," kocham cię, ale głosuję na mentzen2025","kocham cię, głosuję mentzen2025","kochać ty, głosować mentzen2025",pozytywny
1.91896E+18,https://x.com/Toxic1cs/status/1918957580535132533,"#Trzaskowski2025 Wyborcy trzaskowskiego do kobiety piszą ze jest ""qurwa"" i proponują jej lewatywę... Poziom zakładu karnego...  gdzie trzask ma około 80% poparcia   wstyd byc wyborca trzask to uwłacza inteligencji cale szczęście ze nie jestem 🤣😎 #Nawrocki2025 https://t.co/xX0S5KP9Ag",Toxic1cs,Sun May 04 09:15:14 +0000 2025,tweets__Nawrocki2025_20250505_111024.csv,tweets__Nawrocki2025," trzaskowski2025 wyborcy trzaskowskiego do kobiety piszą ze jest ""qurwa"" i proponują jej lewatywę. poziom zakładu karnego. gdzie trzask ma około 80% poparcia wstyd byc wyborca trzask to uwłacza inteligencji cale szczęście ze nie jestem    nawrocki2025 ","trzaskowski2025 wyborcy trzaskowskiego kobiety piszą ""qurwa"" proponują lewatywę. poziom zakładu karnego. trzask 80% poparcia wstyd wyborca trzask uwłacza inteligencji cale szczęście nawrocki2025","trzaskowski2025 wyborca trzaskowskiy kobieta pisać "" qurwa "" proponować lewatywa. poziom zakład karny. trzask 80 % poparcie wstyd wyborca trzask uwłaczać inteligencja caly szczęście nawrocki2025",negatywny
1.91819E+18,https://x.com/KubaGrrr/status/1918192805706412348,"Oni pewnie dalej liczą, że to spotkanie się nie odbyło. Jak można mieć taki brak wyobraźni to tylko silni razem wiedzą. #SilniRazem #Nawrocki2025 #Trump #wyboryprezydenckie #Trzaskowski https://t.co/VqOFJDzEcy",KubaGrrr,Fri May 02 06:36:17 +0000 2025,tweets__WyboryPrezydenckie_20250505_115906.csv,tweets__WyboryPrezydenckie,"oni pewnie dalej liczą, że to spotkanie się nie odbyło. jak można mieć taki brak wyobraźni to tylko silni razem wiedzą. silnirazem nawrocki2025 trump wyboryprezydenckie trzaskowski ","pewnie dalej liczą, spotkanie odbyło. mieć brak wyobraźni silni razem wiedzą. silnirazem nawrocki2025 trump wyboryprezydenckie trzaskowski","pewnie daleko liczyć, spotkanie odbyć. mieć brak wyobraźnia silny razem wiedzieć. silniraz nawrocki2025 trump wyboryprezydencki trzaskowski",negatywny
1.91188E+18,https://x.com/TheBlackQu/status/1911875040632623118,Wiking się obudził #debata #debatarepublika #zandberg2025 https://t.co/YQfUr6d0Kv,TheBlackQu,Mon Apr 14 20:11:45 +0000 2025,tweets__zandberg2025_20250505_120449.csv,tweets__zandberg2025,wiking się obudził debata debatarepublika zandberg2025 ,wiking obudził debata debatarepublika zandberg2025,wiking obudzić debata debatarepublik zandberg2025,neutralny
1.91198E+18,https://x.com/lezcanotech/status/1911979976389243363,History Made at Coachella 🇬🇭 #BlackStar2025  @amaarae amaarae #Coachella2025 #DebataPrezydencka https://t.co/tm1z78NnNc,lezcanotech,Tue Apr 15 03:08:43 +0000 2025,tweets__DebataPrezydencka_20250505_122438.csv,tweets__DebataPrezydencka,history made at coachela   blackstar2025 amarae coachela2025 debataprezydencka ,history made at coachela blackstar2025 amarae coachela2025 debataprezydencka,history made at coachelać blackstar2025 amarae coachela2025 debataprezydencki,neutralny
1.91903E+18,https://x.com/JoannaWerstler/status/1919034152520647147,@Nawrocki25 Brawo Polonia! Tylko #Nawrocki #Nawrocki2025  #MPGA  Make Poland Great Again! https://t.co/stuiiZJGZH,JoannaWerstler,Sun May 04 14:19:30 +0000 2025,tweets__Nawrocki2025_20250505_111024.csv,tweets__Nawrocki2025, brawo polonia! tylko nawrocki nawrocki2025 mpga make poland great again! ,brawo polonia! nawrocki nawrocki2025 mpga make poland great again!,brawo polonia! nawrocki nawrocki2025 mpga make poland great again!,pozytywny
1.91619E+18,https://x.com/AnnaF29144052/status/1916192963866091768,@MDikkii @trzaskowski_ @szymon_holownia @donaldtusk #Hołownia2025 🇵🇱💛🇵🇱,AnnaF29144052,Sat Apr 26 18:09:38 +0000 2025,tweets__Holownia2025_20250505_121943.csv,tweets__Holownia2025, hołownia2025    ,hołownia2025,hołownia2025,neutralny
1.91694E+18,https://x.com/holownia_k/status/1916937745986965932,".@SlawomirMentzen jest dobry jedynie w tiktoka i stąd te tłumy młodzieży na jego wiecach 🍼, #Trzaskowski2025 wypadł świetnie 👏, podobnie @szymon_holownia 👏, @NawrockiKn odpychający 🤮, #Biejat2025 słucha się coraz lepiej 🙂, a @GrzegorzBraun_ to niebezpieczny człowiek 🚑",holownia_k,Mon Apr 28 19:29:08 +0000 2025,tweets__Biejat2025_20250505_114449.csv,tweets__Biejat2025,". jest dobry jedynie w tiktoka i stąd te tłumy młodzieży na jego wiecach  , trzaskowski2025 wypadł świetnie  , podobnie  , odpychający  , biejat2025 słucha się coraz lepiej  , a to niebezpieczny człowiek  ",". dobry tiktoka stąd tłumy młodzieży wiecach , trzaskowski2025 wypadł świetnie , podobnie , odpychający , biejat2025 słucha lepiej , niebezpieczny człowiek",". dobry tiktoki stąd tłum młodzież wiec, trzaskowski2025 wypaść świetnie, podobnie, odpychać, biejat2025 słuchać dobrze, niebezpieczny człowiek",negatywny
1.91912E+18,https://x.com/agntwo1/status/1919122747340255659,@ok_graba @georgesimion Jak kula śniegowa !!! Do zwycięstwa 🔥🔥  #Nawrocki2025 #NawrockiPrezydent2025,agntwo1,Sun May 04 20:11:33 +0000 2025,tweets__Nawrocki2025_20250505_111024.csv,tweets__Nawrocki2025, jak kula śniegowa ! do zwycięstwa   nawrocki2025 nawrockiprezydent2025,kula śniegowa ! zwycięstwa nawrocki2025 nawrockiprezydent2025,kula śniegowy! zwycięstwo nawrocki2025 nawrockiprezydent2025,pozytywny
1.91568E+18,https://x.com/Grubyfus300/status/1915675620425465980,@Trzaskowski2O25 @trzaskowski_ Nie no nawet swoich treści nie macie? #Hołownia2025 https://t.co/zAlhlAsRdw,Grubyfus300,Fri Apr 25 07:53:54 +0000 2025,tweets__Holownia2025_20250505_121943.csv,tweets__Holownia2025, nie no nawet swoich treści nie macie? hołownia2025 ,swoich treści macie? hołownia2025,swój treść mieć? hołownia2025,neutralny
1.9187E+18,https://x.com/sylwekd34/status/1918702641502196026,@ogorekmagda Tylko #Nawrocki2025,sylwekd34,Sat May 03 16:22:12 +0000 2025,tweets__Nawrocki2025_20250505_111024.csv,tweets__Nawrocki2025, tylko nawrocki2025,nawrocki2025,nawrocki2025,neutralny
1.9191E+18,https://x.com/ElbietaJur18129/status/1919098696286748802,Mój też!!! #Trzaskowski2025  #TrzaskamyPierwsząTurę #TrzaskowskiPrezydentemPolski2025  #WygraCałaPolska,ElbietaJur18129,Sun May 04 18:35:58 +0000 2025,tweets__Trzaskowski2025_20250505_122839.csv,tweets__Trzaskowski2025,mój też! trzaskowski2025 trzaskamypierwsząturę trzaskowskiprezydentempolski2025 wygracałapolska,też! trzaskowski2025 trzaskamypierwsząturę trzaskowskiprezydentempolski2025 wygracałapolska,też! trzaskowski2025 trzaskamypierwsząturę trzaskowskiprezydentempolski2025 wygracałapolski,pozytywny
1.91748E+18,https://x.com/PolskaFiga/status/1917478924097052826,@artbaroficjalny Stracił Pan w moich oczach lubiłam pana słuchać ale szczucie na innych kandydatów nisko pan upada.....,PolskaFiga,Wed Apr 30 07:19:35 +0000 2025,tweets__Bartszoszewicz_replies_1917266722371035369_20250505_133600.csv,tweets__Bartszoszewicz, stracił pan w moich oczach lubiłam pana słuchać ale szczucie na inych kandydatów nisko pan upada.,stracił moich oczach lubiłam słuchać szczucie inych kandydatów nisko upada.,stracić mój oko lubić być słuchać szczucie iny kandydat nisko upadać.,negatywny
1.91791E+18,https://x.com/MrMistrzowski/status/1917911168796000322,#Zandberg2025👍 https://t.co/gOFV4oZeJ8,MrMistrzowski,Thu May 01 11:57:10 +0000 2025,tweets__zandberg2025_20250505_110456.csv,tweets__zandberg2025, zandberg2025  ,zandberg2025,zandberg2025,pozytywny
1.91493E+18,https://x.com/Jan_BielakPL/status/1914928865815695474,@AndrzejZmiasta I wyborem jest Marek Woch! #MarekWoch2025,Jan_BielakPL,Wed Apr 23 06:26:33 +0000 2025,tweets__MarekWoch2025_20250505_120637.csv,tweets__MarekWoch2025, i wyborem jest marek woch! marekwoch2025,wyborem marek woch! marekwoch2025,wybór marka woch! marekwoch2025,pozytywny
1.91911E+18,https://x.com/EwaRuda7/status/1919114317800079528,👌👌👌‼️‼️‼️  Dlatego pełna mobilizacja i wygrywa  #Trzaskowski2025,EwaRuda7,Sun May 04 19:38:03 +0000 2025,tweets__Trzaskowski2025_20250505_122839.csv,tweets__Trzaskowski2025,     dlatego pełna mobilizacja i wygrywa trzaskowski2025,pełna mobilizacja wygrywa trzaskowski2025,pełny mobilizacja wygrywać trzaskowski2025,pozytywny
1.91691E+18,https://x.com/RepublikaTV/status/1916909942994280515,"#DebataPrezydencka | Szokujące słowa Maciaka: tak, podziwiam Putina, jest bardzo dobrym politykiem  #włączprawdę #TVRepublika https://t.co/Afs3w5WjUN",RepublikaTV,Mon Apr 28 17:38:39 +0000 2025,tweets__DebataPrezydencka_20250505_114856.csv,tweets__DebataPrezydencka," debataprezydencka | szokujące słowa maciaka: tak, podziwiam putina, jest bardzo dobrym politykiem włączprawdę  tvrepublika ","debataprezydencka | szokujące słowa maciaka: tak, podziwiam putina, dobrym politykiem włączprawdę tvrepublika","debataprezydencka | szokować słowo maciaka: tak, podziwiać putin, dobry polityk włączprawdę tvrepublika",neutralny
1.91504E+18,https://x.com/Dominik_Francz/status/1915040746962583812,Zgadza się 🥰 #Biejat2025 https://t.co/vveoTWaXNi,Dominik_Francz,Wed Apr 23 13:51:08 +0000 2025,tweets__Biejat2025_20250505_122318.csv,tweets__Biejat2025,zgadza się   biejat2025 ,zgadza biejat2025,zgadzać biejat2025,neutralny
